country_producing,sector_producing,country_consuming,sector_consuming,value,unit
DNK,Sea and coastal water transport,DNK,Sea and coastal water transport,4985.670532004328,M.EUR
DNK,Sea and coastal water transport,DNK,Other land transport,1742.8824858205794,M.EUR
DNK,Sea and coastal water transport,DNK,Manufacture of machinery and equipment n.e.c. (29),945.8903415516448,M.EUR
DNK,Sea and coastal water transport,DNK,Other business activities (74),670.0294040819747,M.EUR
DNK,Sea and coastal water transport,DNK,Post and telecommunications (64),478.2831056581661,M.EUR
DNK,Sea and coastal water transport,DNK,Health and social work (85),393.94814773496694,M.EUR
DNK,Sea and coastal water transport,DNK,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",391.3267382918679,M.EUR
DNK,Sea and coastal water transport,DNK,Manufacture of electrical machinery and apparatus n.e.c. (31),366.9427827889145,M.EUR
DNK,Sea and coastal water transport,DNK,"Manufacture of fabricated metal products, except machinery and equipment (28)",281.14211894409027,M.EUR
DNK,Sea and coastal water transport,DNK,Manufacture of fish products,212.55026166208208,M.EUR
DNK,Sea and coastal water transport,DNK,Processing of Food products nec,157.75138002821438,M.EUR
DNK,Sea and coastal water transport,DNK,Supporting and auxiliary transport activities; activities of travel agencies (63),145.25718135600258,M.EUR
DNK,Sea and coastal water transport,DNK,Education (80),144.764628291061,M.EUR
DNK,Sea and coastal water transport,DNK,Renting of machinery and equipment without operator and of personal and household goods (71),138.006037066213,M.EUR
DNK,Sea and coastal water transport,DNK,Transport via pipelines,107.48843886468634,M.EUR
DNK,Sea and coastal water transport,DNK,Public administration and defence; compulsory social security (75),106.79989430859423,M.EUR
DNK,Sea and coastal water transport,DNK,"Publishing, printing and reproduction of recorded media (22)",38.51111506436347,M.EUR
DNK,Sea and coastal water transport,DNK,Construction (45),36.96736284246769,M.EUR
DNK,Sea and coastal water transport,DNK,Computer and related activities (72),31.051863778750505,M.EUR
DNK,Sea and coastal water transport,DNK,"Financial intermediation, except insurance and pension funding (65)",11.474462130509604,M.EUR
DNK,Sea and coastal water transport,DNK,"Recreational, cultural and sporting activities (92)",10.434301721038642,M.EUR
DNK,Sea and coastal water transport,DNK,Real estate activities (70),8.247659276607386,M.EUR
DNK,Sea and coastal water transport,DNK,Manufacture of other non-metallic mineral products n.e.c.,6.835829777790656,M.EUR
DNK,Sea and coastal water transport,DNK,"Manufacture of cement, lime and plaster",6.823638055316855,M.EUR
DNK,Sea and coastal water transport,DNK,"Manufacture of motor vehicles, trailers and semi-trailers (34)",6.108224760099599,M.EUR
DNK,Sea and coastal water transport,DNK,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",5.816863940501406,M.EUR
DNK,Sea and coastal water transport,DNK,Processing of meat pigs,5.0153937163288225,M.EUR
DNK,Sea and coastal water transport,DNK,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",4.345927911985628,M.EUR
DNK,Sea and coastal water transport,DNK,Manufacture of rubber and plastic products (25),4.246822985780602,M.EUR
DNK,Sea and coastal water transport,DNK,"Plastics, basic",3.946576015631585,M.EUR
DNK,Sea and coastal water transport,DNK,Manufacture of beverages,3.8108863213521142,M.EUR
DNK,Sea and coastal water transport,DNK,Manufacture of furniture; manufacturing n.e.c. (36),3.7129409828769977,M.EUR
DNK,Sea and coastal water transport,DNK,Activities of membership organisation n.e.c. (91),3.6927028845042478,M.EUR
DNK,Sea and coastal water transport,DNK,"Manufacture of bricks, tiles and construction products, in baked clay",3.6839213986207215,M.EUR
DNK,Sea and coastal water transport,DNK,Processed rice,3.3343350223342414,M.EUR
DNK,Sea and coastal water transport,DNK,Processing of dairy products,3.2641549236493863,M.EUR
